domain,project,BEASS2_ID
modeling,mdt.modisco,312289
modeling,mdt.modisco,340962
modeling,mdt.modisco,480183
modeling,mdt.modisco,298469
modeling,mdt.modisco,325606
modeling,mdt.modisco,484812
modeling,mdt.modisco,290793
modeling,mdt.modisco,307178
modeling,mdt.modisco,307179
modeling,mdt.modisco,307180
modeling,mdt.modisco,308204
modeling,mdt.modisco,326125
modeling,mdt.modisco,315372
modeling,mdt.modisco,310768
modeling,mdt.modisco,343537
modeling,mdt.modisco,470514
modeling,mdt.modisco,307177
modeling,mdt.modisco,325108
modeling,mdt.modisco,389109
modeling,mdt.modisco,362486
modeling,mdt.modisco,315355
modeling,mdt.modisco,308201
modeling,mdt.modisco,315370
modeling,mdt.modisco,362489
modeling,mdt.modisco,362491
modeling,mdt.modisco,313342
modeling,mdt.modisco,470904
modeling,mdt.modisco,358914
modeling,mdt.modisco,341507
modeling,mdt.modisco,332777
modeling,mdt.modisco,326664
modeling,mdt.modisco,346633
modeling,mdt.modisco,324619
modeling,mdt.modisco,308236
modeling,mdt.modisco,348685
modeling,mdt.modisco,326667
modeling,mdt.modisco,341516
modeling,mdt.modisco,327184
modeling,mdt.modisco,356368
modeling,mdt.modisco,368655
modeling,mdt.modisco,309779
modeling,mdt.modisco,291348
modeling,mdt.modisco,339988
modeling,mdt.modisco,337942
modeling,mdt.modisco,310807
modeling,mdt.modisco,313880
modeling,mdt.modisco,330774
modeling,mdt.modisco,337431
modeling,mdt.modisco,328220
modeling,mdt.modisco,386579
modeling,mdt.modisco,337940
modeling,mdt.modisco,472041
modeling,mdt.modisco,406004
modeling,mdt.modisco,309794
modeling,mdt.modisco,324642
modeling,mdt.modisco,327202
modeling,mdt.modisco,294950
modeling,mdt.modisco,306726
modeling,mdt.modisco,306727
modeling,mdt.modisco,462052
modeling,mdt.modisco,301098
modeling,mdt.modisco,306731
modeling,mdt.modisco,301100
modeling,mdt.modisco,334375
